# Provides a simple reset and then 10692 fast commands with 3 event packets (with 7 BXs of delay)
# The data idle word will contain the special 0x9 header for BC0
# Hard reset,Soft reset,Aligner Ch0 (32 bit),Aligner Ch1 (32 bit),Aligner Ch2 (32 bit),Aligner Ch3 (32 bit),Aligner Ch4 (32 bit),Aligner Ch5 (32 bit),Aligner Ch6 (32 bit),Aligner Ch7 (32 bit),Aligner Ch8 (32 bit),Aligner Ch9 (32 bit),Aligner Ch10 (32 bit),Aligner Ch11 (32 bit),Fast Command (8 bit)
# start
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
# reset
0,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
0,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
0,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
# 10692 fast commands 
1,1,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,9CCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_L1A
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_L1A
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_L1A
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,ACCCCCCC,FASTCMD_IDLE
1,1,50010035,50010005,50010005,50010005,50010025,50010075,50010025,50010065,50010065,50010015,50010015,50010005,FASTCMD_IDLE
1,1,01010101,02010201,03010301,04010401,05010501,06010601,07010701,08010801,09010901,0A010A01,0B010B01,0C010C01,FASTCMD_IDLE
1,1,01020102,02020202,03020302,04020402,05020502,06020602,07020702,08020802,09020902,0A020A02,0B020B02,0C020C02,FASTCMD_IDLE
1,1,01030103,02030203,03030303,04030403,05030503,06030603,07030703,08030803,09030903,0A030A03,0B030B03,0C030C03,FASTCMD_IDLE
1,1,01040104,02040204,03040304,04040404,05040504,06040604,07040704,08040804,09040904,0A040A04,0B040B04,0C040C04,FASTCMD_IDLE
1,1,01050105,02050205,03050305,04050405,05050505,06050605,07050705,08050805,09050905,0A050A05,0B050B05,0C050C05,FASTCMD_IDLE
1,1,01060106,02060206,03060306,04060406,05060506,06060606,07060706,08060806,09060906,0A060A06,0B060B06,0C060C06,FASTCMD_IDLE
1,1,01070107,02070207,03070307,04070407,05070507,06070607,07070707,08070807,09070907,0A070A07,0B070B07,0C070C07,FASTCMD_IDLE
1,1,01080108,02080208,03080308,04080408,05080508,06080608,07080708,08080808,09080908,0A080A08,0B080B08,0C080C08,FASTCMD_IDLE
